Sl no.,Hotel Name,PartnerRef,POS,Bid CPC,Opportunity CPC,Hotel Impr,Clicks,Cost,Avg. CPC,Top Pos Share,Impr Share,Outbid Ratio,Beat,Meet,Lose,Unavailability,Max Potential,Bookings,Booking Rate,CPA,Gross Rev,ABV,Booking Value Index,Net Rev,Net Rev/Click,Profit,ROAS,Margin,Region,Country,City,Stars,Rating
3516,OYO 9050 Hotel Saya,GWL031,IN,0.11,0.19,5199,9,1.43,0.16,0.0339,0.9329,0.0008,0.2133,0.0012,0.7192,0.0664,4629,0,0,,0,,Low,0,0,-1.43,0,,Madhya Pradesh,India,Gwalior,3,82.92
3517,Capital O 5829 Gardeenia Comforts Suites,BLR424,IN,0.16,0.24,837,9,1.87,0.21,0.9391,0.9773,0,0.3094,0,0.6679,0.0227,606,1,0.1111,0.0285,65.54,65.54,High,0,0,-1.87,0,0,Karnataka,India,Bengaluru,4,89.84
3518,OYO 11633 Hotel Sweet Palace,DEL881,IN,0.21,0.55,1768,9,2.76,0.31,0.2466,0.8705,0,0.142,0.0006,0.7279,0.1295,1295,0,0,,0,,Average,0,0,-2.76,0,,Delhi,India,Delhi,3,78.47
3519,OYO 7674 Hotel Stellar,BBS135,IN,0.3,0.54,3689,9,2.69,0.3,0.3128,0.9642,0,0.1339,0,0.8303,0.0358,3168,1,0.1111,0.1588,16.94,16.94,Above Average,0,0,-2.69,0,0,Odisha,India,Bhubaneswar,3,85.1
3520,OYO 8741 Shree Jagannath Palace,BBS154,IN,0.14,0.42,3984,9,1.91,0.21,0.1014,0.9277,0,0.0236,0,0.9041,0.0723,3260,0,0,,0,,Below Average,0,0,-1.91,0,,Odisha,India,Bhubaneswar,3,87.07
3521,OYO 12888 Hotel Ananta,MRT015,IN,0.11,0.15,4184,9,1.37,0.15,0.2256,0.9388,0.0005,0.0523,0.0005,0.886,0.0612,3532,0,0,,0,,Low,0,0,-1.37,0,,Uttar Pradesh,India,Meerut,3,77.72
3522,OYO 3476 Hotel White Mountain,GTK029,IN,0.11,0.12,838,9,1.05,0.12,0.6551,0.6599,0.0178,0.4654,0,0.1945,0.3401,464,0,0,,0,,Above Average,0,0,-1.05,0,,Sikkim,India,Gangtok,3,79.19
3523,OYO 14558 Magsoom Guest House,LEH053,IN,0.14,0.23,335,9,0.9,0.1,0.7254,0.9433,0.3403,0.7254,0,0.2179,0.0567,309,0,0,,0,,Average,0,0,-0.9,0,,Jammu and Kashmir,India,Leh,3,82.83
3524,OYO 5634 IVY Stays - Manoj Pandey Chowk,LCK109,IN,0.21,0.47,1379,9,2.31,0.26,0.3684,0.8869,0,0.2654,0,0.6215,0.1131,975,0,0,,0,,Above Average,0,0,-2.31,0,,Uttar Pradesh,India,Lucknow,3,84.89
3525,OYO 10315 Home 2BHK Cottage Sattal,NAN188,IN,0.18,0.2,1596,9,1.62,0.18,0.631,0.6378,0,0.6184,0,0.0194,0.3622,871,0,0,,0,,Above Average,0,0,-1.62,0,,Uttarakhand,India,Nainital,0,86.44
3526,OYO 8844 Meadows Inn,LCK166,IN,0.23,0.27,971,9,2.44,0.27,0.6138,0.896,0,0.1565,0,0.7394,0.104,642,0,0,,0,,Above Average,0,0,-2.44,0,,Uttar Pradesh,India,Lucknow,3,84.62
3527,OYO 9770 Hotel Urban Comfort,PAT168,IN,0.14,0.34,1217,9,1.87,0.21,0.2769,0.9408,0.0017,0.138,0.0123,0.7921,0.0575,882,0,0,,0,,Below Average,0,0,-1.87,0,,Bihar,India,Patna,3,85.22
3528,OYO 8690 Hotel Kalpana Elite,MUM548,IN,0.17,0.34,13942,9,2.18,0.24,0.0072,0.9208,0.0007,0.027,0,0.8944,0.0785,11194,0,0,,0,,Below Average,0,0,-2.18,0,,Maharashtra,India,Mumbai,3,78.89
3529,OYO 14524 Platinum Solitaire,KOL689,IN,0.18,0.26,386,9,1.84,0.2,0.5026,0.8212,0,0.5725,0,0.2487,0.1788,245,0,0,,0,,Below Average,0,0,-1.84,0,,West Bengal,India,Kolkata,3,86.61
3530,OYO 5150 Varcity Homes,BLR379,IN,0.11,0.15,315,9,1.07,0.12,0.9333,0.9651,0.0952,0.3143,0,0.6508,0.0349,257,0,0,,0,,Average,0,0,-1.07,0,,Karnataka,India,Bengaluru,3,80.89
3531,OYO 14037 Central Inn,CHN561,IN,0.15,0.23,902,9,1.39,0.15,0.6885,0.9789,0.0011,0.5177,0,0.4612,0.0211,798,0,0,,0,,Below Average,0,0,-1.39,0,,Tamil Nadu,India,Chennai,3,82.97
3532,OYO 8634 Golden Orchid,BBS155,IN,0.13,0.22,11541,9,1.88,0.21,0.0154,0.882,0.0001,0.0395,0.0001,0.8424,0.118,9349,0,0,,0,,Low,0,0,-1.88,0,,Odisha,India,Bhubaneswar,3,85.06
3533,OYO 4651 Woodpecker Resort,MNR041,IN,0.2,0.29,9126,9,4.17,0.46,0.095,0.9471,0.0002,0.0954,0,0.8519,0.0527,7184,0,0,,0,,Below Average,0,0,-4.17,0,,Kerala,India,Munnar,3,79.92
3534,OYO 16375 Melfort Inn,DEL1022,IN,0.22,0.47,1243,9,3.48,0.39,0.7015,0.8962,0,0.5229,0.0088,0.3644,0.1038,887,1,0.1111,0.375,9.28,9.28,Above Average,0,0,-3.48,0,0,Delhi,India,Delhi,3,80.4
3535,OYO 8719 Hotel Deep Residency,GTK137,IN,0.23,0.29,2029,9,2.1,0.23,0.7344,0.9433,0.0026,0.589,0.001,0.3558,0.0542,1647,0,0,,0,,Above Average,0,0,-2.1,0,,Sikkim,India,Gangtok,3,81.75
3536,OYO 808 Hotel Alora,CHA008,IN,0.15,0.57,12659,9,3.08,0.34,0.0213,0.9164,0,0.1747,0.0009,0.7408,0.0836,9533,0,0,,0,,Below Average,0,0,-3.08,0,,Punjab,India,Chandigarh,3,84.41
3537,OYO 4802 Cochin City residency,KOC087,IN,0.19,0.67,3481,9,2.6,0.29,0.129,0.9486,0,0.1416,0,0.807,0.0514,3141,0,0,,0,,Above Average,0,0,-2.6,0,,Kerala,India,Kochi,3,86.56
3538,OYO 10625 Hotel Sunrise by City Culture,LCK202,IN,0.13,0.16,338,9,1.63,0.18,0.8284,0.8757,0.0034,0.8728,0,0.003,0.1243,220,0,0,,0,,Above Average,0,0,-1.63,0,,Uttar Pradesh,India,Lucknow,3,88
3539,OYO 15507 Sunshine Highway Inn,CHN050,IN,0.19,0.28,245,9,2.36,0.26,0.9429,0.9755,0,0.9755,0,0,0.0245,174,0,0,,0,,Above Average,0,0,-2.36,0,,Tamil Nadu,India,Chennai,3,84.91
3540,OYO 14576 Sushmika Villas,YER010,IN,0.16,,1211,9,1.19,0.13,0.7506,0.7523,0,0.7523,0,0,0.2477,742,1,0.1111,0.0024,504.83,504.83,High,0,0,-1.19,0,0,Tamil Nadu,India,Yercaud,3,81.82
3541,OYO 9832 Hotel Bleue Mont,VNS109,IN,0.11,0.14,569,9,1.17,0.13,0.9227,0.9227,0,0.9104,0,0.0123,0.0773,445,1,0.1111,0.0777,15.05,15.05,Above Average,0,0,-1.17,0,0,Uttar Pradesh,India,Varanasi,3,83.69
3542,OYO 2245 Sector 21,GRG279,IN,0.13,0.16,241,9,1.92,0.21,0.9336,0.9336,0,0.9295,0,0.0041,0.0664,176,0,0,,0,,Above Average,0,0,-1.92,0,,Haryana,India,Gurgaon,3,80.61
3543,OYO 13796 Stay Inn,RKH091,IN,0.15,0.23,885,9,1.25,0.14,0.4203,0.5785,0,0.3785,0.0102,0.1898,0.4215,404,1,0.1111,0.0525,23.81,23.81,Above Average,0,0,-1.25,0,0,Uttarakhand,India,Rishikesh,3,84.78
3544,OYO 14867 Hotel Aashadeep,AGR170,IN,0.16,0.25,712,9,1.62,0.18,0.8202,0.9284,0,0.7697,0,0.1587,0.0716,561,1,0.1111,0.096,16.88,16.88,Above Average,0,0,-1.62,0,0,Uttar Pradesh,India,Agra,3,82.83
3545,OYO 14859 Akshara grand,HYD591,IN,0.11,0.13,965,9,1.05,0.12,0.8663,0.8674,0,0.8674,0,0,0.1326,863,0,0,,0,,Above Average,0,0,-1.05,0,,Telangana,India,Hyderabad,3,84.38
3546,OYO 6840 Hotel City Inn,RJT037,IN,0.12,0.18,1608,9,1.41,0.16,0.4067,0.9378,0,0.6225,0.0162,0.2991,0.0622,1290,0,0,,0,,Low,0,0,-1.41,0,,Gujarat,India,Rajkot,3,80.16
3547,OYO 10800 Ma Homestay,BBS183,IN,0.21,0.58,5417,9,2.22,0.25,0.1577,0.9435,0,0.0897,0,0.8538,0.0565,4708,0,0,,0,,Average,0,0,-2.22,0,,Odisha,India,Bhubaneswar,3,88.27
3548,OYO 14571 Century Plaza,VNS138,IN,0.15,0.2,456,9,1.54,0.17,0.8355,0.9167,0,0.3882,0,0.5285,0.0833,326,0,0,,0,,Above Average,0,0,-1.54,0,,Uttar Pradesh,India,Varanasi,3,83.93
3549,OYO 3468 Hotel Arunachala,PNY017,IN,0.15,0.21,7295,9,2.18,0.24,0.1601,0.8923,0.0003,0.0573,0,0.8352,0.1075,5334,0,0,,0,,Below Average,0,0,-2.18,0,,Pondicherry,India,Puducherry,3,80.51
3550,OYO 8369 Hotel Sea Mars,DGH020,IN,0.07,0.1,798,9,0.62,0.07,0.6654,0.8296,0.8847,0.9048,0,0.0276,0.0677,1620,0,0,,0,,Low,0,0,-0.62,0,,West Bengal,India,Digha,3,86.33
3551,OYO 15732 Qubestay Airport,MUM713,IN,0.15,0.22,752,9,1.51,0.17,0.7673,0.8112,0,0.5346,0.008,0.2686,0.1888,551,0,0,,0,,Above Average,0,0,-1.51,0,,Maharashtra,India,Mumbai,3,87.91
3552,OYO 9814 Hotel Parnil Palace 2,GHY145,IN,0.14,0.44,1697,9,2.02,0.22,0.33,0.9434,0.0006,0.0919,0,0.8521,0.056,1197,0,0,,0,,Below Average,0,0,-2.02,0,,Assam,India,Guwahati,3,88.53
3553,OYO 10567 Hotel Gandharv,DHN123,IN,0.14,0.24,1198,9,2.22,0.25,0.2771,0.8214,0,0.3322,0.0008,0.4883,0.1786,691,0,0,,0,,Low,0,0,-2.22,0,,Uttarakhand,India,Dehradun,3,82.79
3554,OYO 10248 Hotel Sahar International,MUM601,IN,0.18,0.32,838,9,2.71,0.3,0.0334,0.821,0,0.0501,0,0.7709,0.179,557,0,0,,0,,Low,0,0,-2.71,0,,Maharashtra,India,Mumbai,3,80.14
3555,OYO 11388 Hotel Dimbir Regency,LEH041,IN,0.14,0.24,504,9,1.25,0.14,0.8294,0.9266,0,0.6984,0,0.2282,0.0734,418,0,0,,0,,Average,0,0,-1.25,0,,Jammu and Kashmir,India,Leh,3,85.18
3556,OYO 10045 Hotel Pearl Residency,DEL820,IN,0.15,0.16,646,9,1.35,0.15,0.7059,0.8111,0,0.613,0,0.1981,0.1889,400,0,0,,0,,Above Average,0,0,-1.35,0,,Delhi,India,Delhi,3,82.9
3557,OYO 15941 Jasol Heritage,JOD096,IN,0.1,0.13,294,9,0.9,0.1,0.983,0.983,0.68,0.898,0,0.0884,0.0136,421,0,0,,0,,Below Average,0,0,-0.9,0,,Rajasthan,India,Jodhpur,3,81.6
3558,OYO 845 Hotel Kailash Park,MUM089,IN,0.18,0.41,2709,9,3.52,0.39,0.3736,0.8575,0,0.0934,0,0.7641,0.1425,1880,0,0,,0,,Average,0,0,-3.52,0,,Maharashtra,India,Mumbai,3,76.08
3559,OYO 14543 Royal Palace And Banquets,MTH039,IN,0.12,0.22,425,9,1.05,0.12,0.6659,0.9129,0.5233,0.6447,0,0.2682,0.0871,407,0,0,,0,,Above Average,0,0,-1.05,0,,Uttar Pradesh,India,Mathura,3,79.89
3560,OYO 7445 Hotel Amritsar Residency,ASR099,IN,0.2,0.3,2475,9,2.33,0.26,0.1269,0.6703,0,0.0828,0.0012,0.5863,0.3297,1226,0,0,,0,,Below Average,0,0,-2.33,0,,Punjab,India,Amritsar,3,79.9
3561,OYO 10630 Hotel Nano Turf,MDU043,IN,0.12,0.51,3719,9,1.59,0.18,0.1589,0.9653,0.0003,0.146,0.0005,0.8188,0.0347,3282,0,0,,0,,Below Average,0,0,-1.59,0,,Tamil Nadu,India,Madurai,3,85.28
3562,OYO 2282 Apartment Velachery,CHN112,IN,0.28,0.41,12477,9,3.13,0.35,0.005,0.9245,0,0.092,0.0004,0.8321,0.0755,11082,1,0.1111,0.2128,14.71,14.71,Above Average,0,0,-3.13,0,0,Tamil Nadu,India,Chennai,3,80.08
3563,OYO 9548 Green Villa Guest House,BBS167,IN,0.11,0.24,2432,9,2.07,0.23,0.4268,0.8886,0,0.361,0.007,0.5206,0.1114,1778,0,0,,0,,Below Average,0,0,-2.07,0,,Odisha,India,Bhubaneswar,3,83.22
3564,OYO 10817 Home Hill View 2BHK Villa Sattal,NAN206,IN,0.24,0.3,503,8,2.01,0.25,0.6362,0.6421,0,0.6044,0,0.0378,0.3579,271,0,0,,0,,Above Average,0,0,-2.01,0,,Uttarakhand,India,Nainital,0,82.29
3565,OYO 12868 Hotel City Lite,DEL918,IN,0.18,0.21,830,8,1.53,0.19,0.9506,0.9506,0,0.947,0,0.0036,0.0494,596,0,0,,0,,Above Average,0,0,-1.53,0,,Delhi,India,Delhi,3,80.51
3566,OYO 3318 Hibiscus Guest House,CHN168,IN,0.14,0.34,1308,8,1.87,0.23,0.2087,0.7966,0,0.0833,0,0.7133,0.2034,946,0,0,,0,,Below Average,0,0,-1.87,0,,Tamil Nadu,India,Chennai,3,87
3567,OYO 1492 Hotel Broadway Inn,MNL016,IN,0.19,0.28,337,8,1.42,0.18,0.5401,0.7181,0,0.3175,0,0.4006,0.2819,191,0,0,,0,,Above Average,0,0,-1.42,0,,Himachal Pradesh,India,Manali,3,81.51
3568,OYO 4491 George's The Royal Suite Residency,WND031,IN,0.12,0.37,1029,8,1.59,0.2,0.2157,0.9456,0,0.0739,0,0.8717,0.0544,934,0,0,,0,,Below Average,0,0,-1.59,0,,Kerala,India,Wayanad,3,83.36
3569,OYO 9259 Madurai Alagar,CHN491,IN,0.32,0.46,1273,8,2.78,0.35,0.1893,0.8594,0,0.0738,0,0.7855,0.1406,839,1,0.125,0.1385,20.07,20.07,Below Average,0,0,-2.78,0,0,Tamil Nadu,India,Chennai,3,84.44
3570,OYO 2689 Hotel Karan Villas,KOT008,IN,0.15,0.2,1205,8,1.35,0.17,0.9402,0.9419,0,0.8697,0,0.0722,0.0581,924,1,0.125,0.0411,32.81,32.81,Above Average,0,0,-1.35,0,0,Rajasthan,India,Kota,3,87.15
3571,OYO 6996 near Beltola,GHY088,IN,0.14,0.37,6072,8,1.95,0.24,0.0679,0.9374,0.0002,0.0851,0.0007,0.8518,0.0624,5116,0,0,,0,,Below Average,0,0,-1.95,0,,Assam,India,Guwahati,3,85.72
3572,OYO 15450 City Point Newtown,KOL712,IN,0.16,0.19,180,8,2.07,0.26,0.8389,0.9556,0,0.4889,0,0.4667,0.0444,159,2,0.25,0.0856,24.18,12.09,High,1.81,0.23,-0.26,0.8744,0.0749,West Bengal,India,Kolkata,3,84.9
3573,OYO 11966 Grand Euro Park Hotel,HYD528,IN,0.16,0.22,147,8,2.32,0.29,1,1,0,1,0,0,0,96,0,0,,0,,Above Average,0,0,-2.32,0,,Telangana,India,Hyderabad,3,84.24
3574,OYO 2082 Dwarka,DEL288,IN,0.16,0.24,872,8,1.24,0.16,0.6972,0.883,0,0.0952,0.0011,0.7867,0.117,696,0,0,,0,,Average,0,0,-1.24,0,,Delhi,India,Delhi,3,83.37
3575,OYO 6825 New Crescent Citadel,BLR518,IN,0.26,0.28,241,8,1.96,0.25,0.4149,0.7884,0,0.2863,0,0.5021,0.2116,137,1,0.125,0.061,32.13,32.13,Average,0,0,-1.96,0,0,Karnataka,India,Bengaluru,3,83.85
3576,OYO 15132 Colors,CHN584,IN,0.14,0.21,235,8,1.18,0.15,0.6128,0.7915,0,0.6894,0,0.1021,0.2085,149,0,0,,0,,Above Average,0,0,-1.18,0,,Tamil Nadu,India,Chennai,3,84.42
3577,Hermitage,RKH063,IN,0.12,0.32,6294,8,2.14,0.27,0.1025,0.8928,0,0.1296,0.0003,0.7628,0.1072,5032,0,0,,0,,Low,0,0,-2.14,0,,Uttarakhand,India,Rishikesh,0,83.15
3578,OYO 1235 Salt Lake Sector 1,KOL055,IN,0.14,0.16,257,8,1.2,0.15,0.5759,0.5875,0,0.5175,0,0.07,0.4125,120,2,0.25,0.0254,47.32,23.66,Average,0,0,-1.2,0,0,West Bengal,India,Kolkata,3,87.07
3579,OYO 6603 Hotel Green Residency 2,GRG765,IN,0.23,,451,8,1.48,0.19,0.5188,0.7849,0,0.4235,0.0044,0.357,0.2151,307,0,0,,0,,Average,0,0,-1.48,0,,Haryana,India,Gurgaon,3,85.62
3580,OYO 305 Hotel Rajdeep Palace,DEL006,IN,0.2,0.3,1799,8,2.84,0.36,0.1873,0.8844,0,0.0928,0,0.7916,0.1156,1262,0,0,,0,,Below Average,0,0,-2.84,0,,Delhi,India,Delhi,3,77.26
3581,OYO 5898 Checkin Regency,BLR437,IN,0.11,0.77,11020,8,1.03,0.13,0.0004,0.92,0.0008,0.0475,0.0003,0.8721,0.08,9147,0,0,,0,,Low,0,0,-1.03,0,,Karnataka,India,Bengaluru,3,86.31
3582,Kalyan Heritage,JAI192,IN,0.19,0.54,4735,8,2.21,0.28,0.0059,0.7219,0.0012,0.0059,0,0.7168,0.2773,2642,0,0,,0,,Average,0,0,-2.21,0,,Rajasthan,India,Jaipur,3,76.71
3583,OYO 10223 Hotel Clouds 21,DEL835,IN,0.21,0.25,1255,8,2.19,0.27,0.3888,0.7841,0,0.1124,0,0.6717,0.2159,801,2,0.25,0.0284,77.05,38.52,High,0,0,-2.19,0,0,Delhi,India,Delhi,3,85.97
3584,OYO 9261 Sholinganallur,CHN496,IN,0.18,0.2,374,8,1.52,0.19,0.6791,0.7834,0,0.7326,0,0.0508,0.2166,236,0,0,,0,,Above Average,0,0,-1.52,0,,Tamil Nadu,India,Chennai,3,83.57
3585,OYO Flagship 559 Harshetha IIT Colony,CHN559,IN,0.17,,259,8,1.19,0.15,0.9151,0.9498,0,0.861,0,0.0888,0.0502,220,1,0.125,0.0108,110.16,110.16,High,0,0,-1.19,0,0,Karnataka,India,Bengaluru,3,81.83
3586,OYO 16001 Hotel GK Residency,MUM718,IN,0.16,0.23,328,8,1.31,0.16,0.8689,0.872,0,0.2713,0,0.6006,0.128,294,1,0.125,0.0331,39.52,39.52,High,0,0,-1.31,0,0,Maharashtra,India,Mumbai,3,83.34
3587,OYO 11842 Hotel Aditya,HYD526,IN,0.16,0.18,136,8,1.04,0.13,0.9118,1,0.7817,0.8015,0,0.1985,0,246,0,0,,0,,Above Average,0,0,-1.04,0,,Telangana,India,Hyderabad,3,82.49
3588,OYO 9254 The Platinum,CHA289,IN,0.15,0.25,5870,8,2.44,0.31,0.1305,0.9056,0,0.0903,0.0003,0.815,0.0944,4351,1,0.125,0.2612,9.34,9.34,Average,1.4,0.18,-1.04,0.5738,0.1499,Punjab,India,Chandigarh,3,84.45
3589,OYO 14911 New Airport Residency,JAI431,IN,0.12,0.15,246,8,1,0.13,0.9106,0.9106,0.0044,0.9106,0,0,0.0894,164,0,0,,0,,Above Average,0,0,-1,0,,Rajasthan,India,Jaipur,3,84.36
3590,OYO 10122 Shanti Vilas Homestay,JAI375,IN,0.3,0.39,1912,8,3,0.38,0.4168,0.8928,0,0.2657,0.0005,0.6266,0.1072,1351,0,0,,0,,Above Average,0,0,-3,0,,Rajasthan,India,Jaipur,3,89.33
3591,OYO 11357 Karol Bagh,DEL366,IN,0.19,0.25,292,8,1.91,0.24,0.6644,0.911,0,0.1575,0,0.7534,0.089,226,1,0.125,0.1399,13.65,13.65,High,0,0,-1.91,0,0,Delhi,India,Delhi,3,82.81
3592,OYO 14723 Diamond deluxe,DEL970,IN,0.16,0.24,414,8,1.36,0.17,0.7802,0.8889,0,0.1739,0,0.715,0.1111,340,1,0.125,0.0931,14.61,14.61,Low,0,0,-1.36,0,0,Delhi,India,Delhi,3,82.14
3593,OYO 9277 Home Studios Near Candolim Beach,GOA851,IN,0.14,0.2,950,8,2.1,0.26,1,1,0,0.9937,0,0.0063,0,853,0,0,,0,,Above Average,0,0,-2.1,0,,Goa,India,Candolim,0,81.16
3594,OYO 10584 Hotel Just Stay,GRG834,IN,0.35,0.54,841,8,2.75,0.34,0.3936,0.9025,0,0.1249,0,0.7776,0.0975,547,2,0.25,0.0376,73.17,36.58,High,0,0,-2.75,0,0,Haryana,India,Gurgaon,3,84.72
3595,OYO 9056 Hotel Holiday Comfort,ASR112,IN,0.18,0.42,8090,8,1.61,0.2,0.059,0.9124,0.0001,0.0279,0,0.8845,0.0875,6385,1,0.125,0.1952,8.25,8.25,Below Average,0,0,-1.61,0,0,Punjab,India,Amritsar,3,89.32
3596,OYO 10595 Hotel Mirras,HYD503,IN,0.13,0.39,973,8,2.56,0.32,0.0946,0.8171,0,0.0668,0.0021,0.7482,0.1829,604,0,0,,0,,Below Average,0,0,-2.56,0,,Telangana,India,Hyderabad,3,90.45
3597,OYO 9352 Hotel SRC Grand,VIJ049,IN,0.12,0.55,9640,8,1.35,0.17,0.0086,0.9387,0.0002,0.4132,0.0019,0.5239,0.0611,8577,0,0,,0,,Low,0,0,-1.35,0,,Andhra Pradesh,India,Vijayawada,3,89.5
3598,OYO 2089 Hotel Sagar,CHA059,IN,0.22,0.32,1259,8,1.58,0.2,0.2343,0.7983,0,0.2391,0,0.5592,0.2017,762,0,0,,0,,Above Average,0,0,-1.58,0,,Punjab,India,Chandigarh,3,82.29
3599,OYO 11601 Hotel Karishma,PUN255,IN,0.14,0.15,326,8,1.28,0.16,0.454,0.6779,0.0045,0.5061,0,0.1718,0.3221,150,0,0,,0,,Below Average,0,0,-1.28,0,,Maharashtra,India,Pune,3,82.59
3600,OYO 5811 Seacom Inn YMCA Esplanade,KOL352,IN,0.17,0.25,2031,8,2.22,0.28,0.1753,0.7686,0,0.0468,0,0.7218,0.2314,1268,0,0,,0,,Average,0,0,-2.22,0,,West Bengal,India,Kolkata,3,82.04
3601,OYO 1662 Hotel Behl Regency,ASR016,IN,0.21,0.49,1835,8,2.06,0.26,0.2403,0.7629,0,0.1046,0,0.6583,0.2371,1052,0,0,,0,,Average,0,0,-2.06,0,,Punjab,India,Amritsar,3,79.57
3602,OYO 7075 Hotel Oakland,DEL666,IN,0.26,,685,8,1.79,0.22,0.492,0.8613,0,0.1752,0,0.6861,0.1387,476,0,0,,0,,Above Average,0,0,-1.79,0,,Delhi,India,Delhi,3,82.15
3603,OYO 10682 Hotel Blue Lotus,PUS021,IN,0.19,0.22,1358,8,1.64,0.21,0.69,0.8247,0,0.3601,0,0.4647,0.1753,923,2,0.25,0.0465,35.24,17.62,Low,0,0,-1.64,0,0,Rajasthan,India,Ajmer,3,80
3604,OYO 3802 Hotel Nirmal Residency,AUR035,IN,0.22,0.56,9487,8,1.75,0.22,0.0172,0.9181,0.0002,0.0368,0.0001,0.8814,0.0817,7398,1,0.125,0.0887,19.73,19.73,Below Average,0,0,-1.75,0,0,Maharashtra,India,Aurangabad,3,83.23
3605,OYO 9574 Hotel The Nature Bliss,MNL235,IN,0.14,0.18,1614,8,2.56,0.32,0.3761,0.8916,0,0.1276,0,0.7639,0.1084,1352,0,0,,0,,Below Average,0,0,-2.56,0,,Himachal Pradesh,India,Kullu,3,82.07
3606,OYO 8671 Sri Krishna Residency,VSK101,IN,0.11,0.22,1369,8,1.35,0.17,0.3996,0.8057,0.0009,0.0789,0,0.7275,0.1936,937,0,0,,0,,Below Average,0,0,-1.35,0,,Andhra Pradesh,India,Visakhapatnam,3,87.2
3607,OYO 13477 Sreemaa,KOL659,IN,0.11,0.14,405,8,0.88,0.11,0.9259,0.9259,0.0079,0.6864,0,0.2395,0.0741,336,1,0.125,0.0518,16.98,16.98,Above Average,0,0,-0.88,0,0,West Bengal,India,Kolkata,3,87.5
3608,OYO 10464 Hotel Serenity Mysore,MYS095,IN,0.18,0.26,2444,8,2.14,0.27,0.2852,0.8384,0,0.1457,0.0029,0.6899,0.1616,1614,0,0,,0,,Average,0,0,-2.14,0,,Karnataka,India,Mysore,3,86.27
3609,OYO 9285 Home Cozy Studio Candolim Beach Lane,GOA880,IN,0.21,0.23,520,8,1.76,0.22,0.9423,0.9442,0,0.6635,0,0.2808,0.0558,394,0,0,,0,,Above Average,0,0,-1.76,0,,Goa,India,Candolim,0,84.81
3610,OYO 10871 Home Luxurious 3BHK Dona Paula,GOA1079,IN,0.16,0.2,380,8,2.12,0.27,0.9079,0.9079,0,0.9053,0,0.0026,0.0921,332,0,0,,0,,Above Average,0,0,-2.12,0,,Goa,India,Panaji,0,83.73
3611,OYO 15485 Hotel Vaishnavi Heritage Inn,AGR172,IN,0.12,0.23,991,8,1.21,0.15,0.224,0.8819,0.0011,0.0061,0,0.8759,0.1181,739,0,0,,0,,Below Average,0,0,-1.21,0,,Uttar Pradesh,India,Agra,3,87.21
3612,OYO 11688 Petunia Boutique Hotel,BLR812,IN,0.13,0.38,486,8,1.85,0.23,0.465,0.9218,0,0.1296,0,0.7922,0.0782,426,0,0,,0,,Average,0,0,-1.85,0,,Karnataka,India,Bengaluru,3,82.86
3613,OYO 14980 Hotel Shubha Sai,BLR912,IN,0.13,0.16,219,8,1.02,0.13,0.9543,0.9772,0,0.9772,0,0,0.0228,172,0,0,,0,,Above Average,0,0,-1.02,0,,Karnataka,India,Bengaluru,3,83.1
3614,OYO 11600 Hotel Cosy Tree,GRG862,IN,0.13,0.38,6679,8,2.51,0.31,0.0085,0.941,0.0002,0.2047,0.0018,0.7347,0.0588,5600,0,0,,0,,Below Average,0,0,-2.51,0,,Delhi,India,Delhi,3,84.6
3615,OYO 437 Hotel Vastav Comforts Inn,BLR039,IN,0.18,0.33,239,8,1.77,0.22,0.4561,0.8117,0,0.0669,0,0.7448,0.1883,163,0,0,,0,,Below Average,0,0,-1.77,0,,Karnataka,India,Bengaluru,3,81.25
3616,OYO 10855 Home 1BHK Villa Bhimtal,NAN227,IN,0.27,0.42,1206,8,2.76,0.35,0.9726,0.9826,0,0.1567,0,0.8259,0.0174,985,0,0,,0,,Above Average,0,0,-2.76,0,,Uttarakhand,India,Nainital,0,84.92
3617,OYO 15558 Sri Sai Nivas Inn,CHN591,IN,0.21,0.27,557,8,1.8,0.23,0.772,0.8546,0,0.8133,0,0.0413,0.1454,426,0,0,,0,,Average,0,0,-1.8,0,,Tamil Nadu,India,Chennai,3,84.36
3618,OYO Flagship 199 Gomti Nagar,LCK199,IN,0.15,0.39,1461,8,2.52,0.32,0.6085,0.8652,0,0.0808,0,0.7844,0.1348,1017,1,0.125,0.0998,25.26,25.26,Above Average,0,0,-2.52,0,0,Uttar Pradesh,India,Lucknow,3,82.63
3619,OYO 3448 Sree Krishna Residency,TKD008,IN,0.15,0.37,1631,8,2.17,0.27,0.2716,0.954,0,0.2244,0,0.7296,0.046,1411,0,0,,0,,Below Average,0,0,-2.17,0,,Kerala,India,Thekkady,3,80.37
3620,OYO 3590 Mandava Suites,HYD251,IN,0.33,0.48,1108,8,2.96,0.37,0.8168,0.9829,0,0.2834,0,0.6995,0.0171,865,0,0,,0,,Average,0,0,-2.96,0,,Telangana,India,Hyderabad,3,79.51
3621,OYO 14157 RS Hotel & Restaurant,ASR148,IN,0.14,0.17,1483,8,1.2,0.15,0.592,0.6649,0.001,0.5502,0.0007,0.114,0.3351,831,0,0,,0,,Above Average,0,0,-1.2,0,,Punjab,India,Amritsar,3,86.09
