Sl no.,Hotel Name,PartnerRef,POS,Bid CPC,Opportunity CPC,Hotel Impr,Clicks,Cost,Avg. CPC,Top Pos Share,Impr Share,Outbid Ratio,Beat,Meet,Lose,Unavailability,Max Potential,Bookings,Booking Rate,CPA,Gross Rev,ABV,Booking Value Index,Net Rev,Net Rev/Click,Profit,ROAS,Margin,Region,Country,City,Stars,Rating
156,OYO 10708 Mithila Spiritual Stay,VRN014,IN,0.14,0.21,8001,152,26.65,0.18,0.6378,0.8815,0.0003,0.4897,0.0002,0.3916,0.1185,5579,5,0.0329,0.4603,57.9,11.58,Below Average,0,0,-26.65,0,0,Uttar Pradesh,India,Vrindavan,3,84.51
157,OYO 1081 Hotel Sindhu International,TPI004,IN,0.28,0.3,23970,151,52.2,0.35,0.2822,0.9355,0.0003,0.0446,0.0001,0.8911,0.0642,19066,13,0.0861,0.1791,291.41,22.42,Average,5.74,0.04,-46.46,0.11,0.0197,Andhra Pradesh,India,Tirupati,3,79.56
158,OYO 10235 Oyster Transit Hotels,HYD493,IN,0.29,0.34,4020,151,56.1,0.37,0.4289,0.8928,0,0.0662,0.0002,0.8264,0.1072,2633,10,0.0662,0.2604,215.41,21.54,Above Average,0,0,-56.1,0,0,Telangana,India,Hyderabad,3,78.31
159,OYO 15543 Rishivan Resort,LNL053,IN,0.21,0.23,6327,151,27.84,0.18,0.9437,0.9452,0,0.8219,0,0.1233,0.0548,4850,5,0.0331,0.2153,129.32,25.86,Above Average,4.64,0.03,-23.2,0.1667,0.0359,Maharashtra,India,Lonavala,3,78.86
160,OYO Townhouse 010 East of Kailash,DEL741,IN,0.33,0.44,76432,150,105.79,0.71,0.0611,0.9463,0.0001,0.0477,0,0.8986,0.0537,62927,3,0.02,0.4999,211.61,70.54,High,0,0,-105.79,0,0,Delhi,India,Delhi,4,85.96
161,OYO 2191 Hotel Cliff,GOA139,IN,0.13,0.25,7924,149,42.45,0.28,0.6887,0.9242,0,0.2009,0.0004,0.7229,0.0758,6134,2,0.0134,0.7779,54.57,27.28,Low,0,0,-42.45,0,0,Goa,India,Dabolim,3,81.97
162,OYO 3217 Kurinji Residency,OTY012,IN,0.12,0.47,34219,149,34.1,0.23,0.0954,0.9359,0,0.0603,0,0.8756,0.0641,28187,0,0,,0,,Low,0,0,-34.1,0,,Tamil Nadu,India,Udhagamandalam,3,84.89
163,OYO 3722 Hotel StayEasy Majestic,BLR310,IN,0.15,0.84,22494,149,37.93,0.25,0.018,0.9679,0.0001,0.0942,0.0014,0.8724,0.032,18939,8,0.0537,0.3811,99.52,12.44,Below Average,0,0,-37.93,0,0,Karnataka,India,Bengaluru,3,85.15
164,OYO 14359 The Mir Villa,LEH049,IN,0.31,0.39,3634,147,39.22,0.27,0.9959,0.9959,0,0.9755,0,0.0204,0.0041,3237,5,0.034,0.1765,222.23,44.45,Above Average,24.22,0.16,-15,0.6175,0.109,Jammu and Kashmir,India,Leh,3,80.49
165,OYO 5183 Hotel Subhadra Residency,MRT008,IN,0.18,0.22,4647,147,28.58,0.19,0.8821,0.9438,0,0.5072,0.0009,0.4358,0.0562,3760,7,0.0476,0.1465,195.02,27.86,Low,0,0,-28.58,0,0,Uttar Pradesh,India,Meerut,3,86.17
166,OYO 14426 V Knot Residency,PTB014,IN,0.14,0.23,2975,146,27.79,0.19,0.6454,0.9408,0.0025,0.9311,0.0003,0.0114,0.0571,2277,2,0.0137,0.4468,62.2,31.1,Below Average,9.33,0.06,-18.46,0.3357,0.15,Andaman and Nicobar Islands,India,Port Blair,3,81.47
167,OYO 7024 Hotel Vakratunda,MCD050,IN,0.31,0.42,6878,146,51.93,0.36,0.9575,0.9661,0,0.4168,0.0017,0.5475,0.0339,5217,4,0.0274,0.1926,269.63,67.41,Above Average,0,0,-51.93,0,0,Himachal Pradesh,India,Kangra,3,85.84
168,OYO 14678 Hotel Filigree,MUS036,IN,0.13,0.27,4458,146,32.34,0.22,0.9121,0.9854,0,0.5162,0.0002,0.469,0.0146,3812,4,0.0274,0.3193,101.29,25.32,Below Average,0,0,-32.34,0,0,Uttarakhand,India,Mussoorie,3,82.02
169,OYO 6277 Hotel Maharaja,SHM113,IN,0.21,0.25,22214,145,38.73,0.27,0.1675,0.9367,0.0004,0.0659,0.0001,0.871,0.0629,19342,2,0.0138,0.2024,191.37,95.68,Low,24.39,0.17,-14.34,0.6297,0.1274,Himachal Pradesh,India,Shimla,3,83.6
170,OYO 15158 Mussoorie International,MUS004,IN,0.11,0.33,16778,144,29.35,0.2,0.0858,0.936,0.0007,0.3735,0.0005,0.5626,0.0634,12145,2,0.0139,0.4357,67.36,33.68,Low,0,0,-29.35,0,0,Uttarakhand,India,Mussoorie,3,81.87
171,OYO 15914 Hotel Kruti,SOM015,IN,0.17,0.19,3250,144,20.68,0.14,0.8215,0.9772,0.0311,0.9766,0,0.0006,0.0228,2421,4,0.0278,0.2118,97.65,24.41,Low,0,0,-20.68,0,0,Gujarat,India,Somnath,3,81.03
172,OYO 15180 Kavita Inn,ABU059,IN,0.12,0.15,9223,143,18.24,0.13,0.9355,0.9448,0.0003,0.3772,0,0.5676,0.0552,7803,1,0.007,0.1607,113.48,113.48,Low,0,0,-18.24,0,0,Rajasthan,India,Mount Abu,3,84.16
173,OYO 5408 Loharkar's Family Hotel,NAG035,IN,0.32,0.34,6501,143,36.04,0.25,0.8214,0.9297,0.0002,0.3224,0.0002,0.6073,0.0701,5574,14,0.0979,0.0632,569.89,40.71,High,0,0,-36.04,0,0,Maharashtra,India,Nagpur,3,83.31
